"filename", "language", "TypeScript JSX", "JSON", "JavaScript JSX", "JSON with Comments", "JavaScript", "Markdown", "Ruby", "comment", "blank", "total"
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\.prettierrc.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\.watchmanconfig", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\App.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 9, 69
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\Gemfile", "Ruby", 0, 0, 0, 0, 0, 0, 4, 2, 3, 9
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\README.md", "Markdown", 0, 0, 0, 0, 0, 49, 0, 0, 31, 80
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\__tests__\App.test.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 5, 5, 18
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\app.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\babel.config.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\index.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\jest.config.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\metro.config.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 6, 3, 12
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\package-lock.json", "JSON", 0, 14874, 0, 0, 0, 0, 0, 0, 1, 14875
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\package.json", "JSON", 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\components\CountryPicker.jsx", "JavaScript JSX", 0, 0, 187, 0, 0, 0, 0, 0, 12, 199
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\components\MapEstacionamientoScreen.jsx", "JavaScript JSX", 0, 0, 338, 0, 0, 0, 0, 14, 37, 389
"c:\Users\ferna\Desktop\8VO SEMESTRE\MovilDriveSmart\DriveSmart\src\components\MapPlacasScreen.jsx", "JavaScript JSX", 0, 0, 430, 0, 0, 0, 0, 23, 40, 493
